RESULT IS: FRAME ID 1, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 606, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 612, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 619, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 713, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 719, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 722, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 728, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 814, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 820, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 825, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 831, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 836, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 842, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 912, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 918, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 922, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 926, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 930, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 936, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 998, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1004, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1011, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1014, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1097, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1104, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1110, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1116, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1122, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1188, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1195, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1201, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1207, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1213, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1285, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1294, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1300, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1305, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1388, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1393, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1400, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1475, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1481, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1487, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1492, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1498, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1582, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1588, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1592, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1676, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1685, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1691, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1775, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1780, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1785, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1791, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1882, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1888, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1969, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1974, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1980, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1986, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2065, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2075, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2082, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2089, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2173, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2181, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2188, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2194, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2270, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2276, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2282, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2289, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2371, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2378, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2385, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2474, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2480, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2487, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2574, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2581, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2588, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2675, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2780, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2786, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2792, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2797, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2879, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2887, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2981, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2988, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 2994, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3081, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3089, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3096, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3188, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3194, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3200, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3206, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3282, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3289, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3295, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3301, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3378, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3385, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3391, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3479, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3486, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3493, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3584, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3590, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3597, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3687, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3693, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3699, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3705, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3784, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3790, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3796, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3883, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3892, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3951, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3962, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 3973, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 4050, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 4056, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 4063, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 4067, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 4150, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
