RESULT IS: FRAME ID 1, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 619, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 625, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 706, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 708, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 785, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 792, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 796, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 798, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 800, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 803, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 875, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 878, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 955, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 958, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 961, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 964, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1057, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1060, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1063, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1065, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1068, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1166, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1169, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1173, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1176, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1262, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1265, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1269, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 1272, LANDMARK.KEY_LANDMARK, FRAME PRESENT
